all,πÈπÃπ‰,πË√ﬂ±Ëƒ°,∞Ë∂ı«¡∂Û¿Ã,Ω∫∆‘,∂Û∏È,¡∂πÃ±Ë,,,,
0.604,0.671,0.628,0.377,0.594,0.754,0.601,,,,
0.636,0.658,0.642,0.453,0.581,0.897,0.587,,,,
0.599,0.634,0.587,0.431,0.549,0.83,0.561,,,,
0.6,0.644,0.598,0.431,0.561,0.808,0.56,,,,
0.548,0.598,0.533,0.388,0.543,0.693,0.536,,,,
0.553,0.602,0.534,0.409,0.541,0.692,0.539,,,,
0.548,0.602,0.32,0.404,0.523,0.689,0.541,,,,
0.637,0.648,0.665,0.454,0.602,0.872,0.581,,,,
0.541,0.614,0.573,0.38,0.482,0.696,0.504,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
